dteday,cnt,registered,casual,Recency,Frequency,Monetary
2011-05-01,3351,2213,1138,610,3351,3351
2011-05-02,4401,3554,847,609,4401,4401
2011-05-03,4451,3848,603,608,4451,4451
2011-05-04,2633,2378,255,607,2633,2633
2011-05-05,4433,3819,614,606,4433,4433
2011-05-06,4608,3714,894,605,4608,4608
2011-05-07,4714,3102,1612,604,4714,4714
2011-05-08,4333,2932,1401,603,4333,4333
2011-05-09,4362,3698,664,602,4362,4362
2011-05-10,4803,4109,694,601,4803,4803
2011-05-11,4182,3632,550,600,4182,4182
2011-05-12,4864,4169,695,599,4864,4864
2011-05-13,4105,3413,692,598,4105,4105
2011-05-14,3409,2507,902,597,3409,3409
2011-05-15,4553,2971,1582,596,4553,4553
2011-05-16,3958,3185,773,595,3958,3958
2011-05-17,4123,3445,678,594,4123,4123
2011-05-18,3855,3319,536,593,3855,3855
2011-05-19,4575,3840,735,592,4575,4575
2011-05-20,4917,4008,909,591,4917,4917
2011-05-21,5805,3547,2258,590,5805,5805
2011-05-22,4660,3084,1576,589,4660,4660
2011-05-23,4274,3438,836,588,4274,4274
2011-05-24,4492,3833,659,587,4492,4492
2011-05-25,4978,4238,740,586,4978,4978
2011-05-26,4677,3919,758,585,4677,4677
2011-05-27,4679,3808,871,584,4679,4679
2011-05-28,4758,2757,2001,583,4758,4758
2011-05-29,4788,2433,2355,582,4788,4788
2011-05-30,4098,2549,1549,581,4098,4098
2011-05-31,3982,3309,673,580,3982,3982
2011-06-01,3974,3461,513,579,3974,3974
2011-06-02,4968,4232,736,578,4968,4968
2011-06-03,5312,4414,898,577,5312,5312
2011-06-04,5342,3473,1869,576,5342,5342
2011-06-05,4906,3221,1685,575,4906,4906
2011-06-06,4548,3875,673,574,4548,4548
2011-06-07,4833,4070,763,573,4833,4833
2011-06-08,4401,3725,676,572,4401,4401
2011-06-09,3915,3352,563,571,3915,3915
2011-06-10,4586,3771,815,570,4586,4586
2011-06-11,4966,3237,1729,569,4966,4966
2011-06-12,4460,2993,1467,568,4460,4460
2011-06-13,5020,4157,863,567,5020,5020
2011-06-14,4891,4164,727,566,4891,4891
2011-06-15,5180,4411,769,565,5180,5180
2011-06-16,3767,3222,545,564,3767,3767
2011-06-17,4844,3981,863,563,4844,4844
2011-06-18,5119,3312,1807,562,5119,5119
2011-06-19,4744,3105,1639,561,4744,4744
2011-06-20,4010,3311,699,560,4010,4010
2011-06-21,4835,4061,774,559,4835,4835
2011-06-22,4507,3846,661,558,4507,4507
2011-06-23,4790,4044,746,557,4790,4790
2011-06-24,4991,4022,969,556,4991,4991
2011-06-25,5202,3420,1782,555,5202,5202
2011-06-26,5305,3385,1920,554,5305,5305
2011-06-27,4708,3854,854,553,4708,4708
2011-06-28,4648,3916,732,552,4648,4648
2011-06-29,5225,4377,848,551,5225,5225
2011-06-30,5515,4488,1027,550,5515,5515
2011-07-01,5362,4116,1246,549,5362,5362
2011-07-02,5119,2915,2204,548,5119,5119
2011-07-03,4649,2367,2282,547,4649,4649
2011-07-04,6043,2978,3065,546,6043,6043
2011-07-05,4665,3634,1031,545,4665,4665
2011-07-06,4629,3845,784,544,4629,4629
2011-07-07,4592,3838,754,543,4592,4592
2011-07-08,4040,3348,692,542,4040,4040
2011-07-09,5336,3348,1988,541,5336,5336
2011-07-10,4881,3138,1743,540,4881,4881
2011-07-11,4086,3363,723,539,4086,4086
2011-07-12,4258,3596,662,538,4258,4258
2011-07-13,4342,3594,748,537,4342,4342
2011-07-14,5084,4196,888,536,5084,5084
2011-07-15,5538,4220,1318,535,5538,5538
2011-07-16,5923,3505,2418,534,5923,5923
2011-07-17,5302,3296,2006,533,5302,5302
2011-07-18,4458,3617,841,532,4458,4458
2011-07-19,4541,3789,752,531,4541,4541
2011-07-20,4332,3688,644,530,4332,4332
2011-07-21,3784,3152,632,529,3784,3784
2011-07-22,3387,2825,562,528,3387,3387
2011-07-23,3285,2298,987,527,3285,3285
2011-07-24,3606,2556,1050,526,3606,3606
2011-07-25,3840,3272,568,525,3840,3840
2011-07-26,4590,3840,750,524,4590,4590
2011-07-27,4656,3901,755,523,4656,4656
2011-07-28,4390,3784,606,522,4390,4390
2011-07-29,3846,3176,670,521,3846,3846
2011-07-30,4475,2916,1559,520,4475,4475
2011-07-31,4302,2778,1524,519,4302,4302
2011-08-01,4266,3537,729,518,4266,4266
2011-08-02,4845,4044,801,517,4845,4845
2011-08-03,3574,3107,467,516,3574,3574
2011-08-04,4576,3777,799,515,4576,4576
2011-08-05,4866,3843,1023,514,4866,4866
2011-08-06,4294,2773,1521,513,4294,4294
2011-08-07,3785,2487,1298,512,3785,3785
2011-08-08,4326,3480,846,511,4326,4326
2011-08-09,4602,3695,907,510,4602,4602
2011-08-10,4780,3896,884,509,4780,4780
2011-08-11,4792,3980,812,508,4792,4792
2011-08-12,4905,3854,1051,507,4905,4905
2011-08-13,4150,2646,1504,506,4150,4150
2011-08-14,3820,2482,1338,505,3820,3820
2011-08-15,4338,3563,775,504,4338,4338
2011-08-16,4725,4004,721,503,4725,4725
2011-08-17,4694,4026,668,502,4694,4694
2011-08-18,3805,3166,639,501,3805,3805
2011-08-19,4153,3356,797,500,4153,4153
2011-08-20,5191,3277,1914,499,5191,5191
2011-08-21,3873,2624,1249,498,3873,3873
2011-08-22,4758,3925,833,497,4758,4758
2011-08-23,5895,4614,1281,496,5895,5895
2011-08-24,5130,4181,949,495,5130,5130
2011-08-25,3542,3107,435,494,3542,3542
2011-08-26,4661,3893,768,493,4661,4661
2011-08-27,1115,889,226,492,1115,1115
2011-08-28,4334,2919,1415,491,4334,4334
2011-08-29,4634,3905,729,490,4634,4634
2011-08-30,5204,4429,775,489,5204,5204
2011-08-31,5058,4370,688,488,5058,5058
2011-09-01,5115,4332,783,487,5115,5115
2011-09-02,4727,3852,875,486,4727,4727
2011-09-03,4484,2549,1935,485,4484,4484
2011-09-04,4940,2419,2521,484,4940,4940
2011-09-05,3351,2115,1236,483,3351,3351
2011-09-06,2710,2506,204,482,2710,2710
2011-09-07,1996,1878,118,481,1996,1996
2011-09-08,1842,1689,153,480,1842,1842
2011-09-09,3544,3127,417,479,3544,3544
2011-09-10,5345,3595,1750,478,5345,5345
2011-09-11,5046,3413,1633,477,5046,5046
2011-09-12,4713,4023,690,476,4713,4713
2011-09-13,4763,4062,701,475,4763,4763
2011-09-14,4785,4138,647,474,4785,4785
2011-09-15,3659,3231,428,473,3659,3659
2011-09-16,4760,4018,742,472,4760,4760
2011-09-17,4511,3077,1434,471,4511,4511
2011-09-18,4274,2921,1353,470,4274,4274
2011-09-19,4539,3848,691,469,4539,4539
2011-09-20,3641,3203,438,468,3641,3641
2011-09-21,4352,3813,539,467,4352,4352
2011-09-22,4795,4240,555,466,4795,4795
2011-09-23,2395,2137,258,465,2395,2395
2011-09-24,5423,3647,1776,464,5423,5423
2011-09-25,5010,3466,1544,463,5010,5010
2011-09-26,4630,3946,684,462,4630,4630
2011-09-27,4120,3643,477,461,4120,4120
2011-09-28,3907,3427,480,460,3907,3907
2011-09-29,4839,4186,653,459,4839,4839
2011-09-30,5202,4372,830,458,5202,5202
2011-10-01,2429,1949,480,457,2429,2429
2011-10-02,2918,2302,616,456,2918,2918
2011-10-03,3570,3240,330,455,3570,3570
2011-10-04,4456,3970,486,454,4456,4456
2011-10-05,4826,4267,559,453,4826,4826
2011-10-06,4765,4126,639,452,4765,4765
2011-10-07,4985,4036,949,451,4985,4985
2011-10-08,5409,3174,2235,450,5409,5409
2011-10-09,5511,3114,2397,449,5511,5511
2011-10-10,5117,3603,1514,448,5117,5117
2011-10-11,4563,3896,667,447,4563,4563
2011-10-12,2416,2199,217,446,2416,2416
2011-10-13,2913,2623,290,445,2913,2913
2011-10-14,3644,3115,529,444,3644,3644
2011-10-15,5217,3318,1899,443,5217,5217
2011-10-16,5041,3293,1748,442,5041,5041
2011-10-17,4570,3857,713,441,4570,4570
2011-10-18,4748,4111,637,440,4748,4748
2011-10-19,2424,2170,254,439,2424,2424
2011-10-20,4195,3724,471,438,4195,4195
2011-10-21,4304,3628,676,437,4304,4304
2011-10-22,4308,2809,1499,436,4308,4308
2011-10-23,4381,2762,1619,435,4381,4381
2011-10-24,4187,3488,699,434,4187,4187
2011-10-25,4687,3992,695,433,4687,4687
2011-10-26,3894,3490,404,432,3894,3894
2011-10-27,2659,2419,240,431,2659,2659
2011-10-28,3747,3291,456,430,3747,3747
2011-10-29,627,570,57,429,627,627
2011-10-30,3331,2446,885,428,3331,3331
2011-10-31,3669,3307,362,427,3669,3669
2011-11-01,4068,3658,410,426,4068,4068
2011-11-02,4186,3816,370,425,4186,4186
2011-11-03,3974,3656,318,424,3974,3974
2011-11-04,4046,3576,470,423,4046,4046
2011-11-05,3926,2770,1156,422,3926,3926
2011-11-06,3649,2697,952,421,3649,3649
2011-11-07,4035,3662,373,420,4035,4035
2011-11-08,4205,3829,376,419,4205,4205
2011-11-09,4109,3804,305,418,4109,4109
2011-11-10,2933,2743,190,417,2933,2933
2011-11-11,3368,2928,440,416,3368,3368
2011-11-12,4067,2792,1275,415,4067,4067
2011-11-13,3717,2713,1004,414,3717,3717
2011-11-14,4486,3891,595,413,4486,4486
2011-11-15,4195,3746,449,412,4195,4195
2011-11-16,1817,1672,145,411,1817,1817
2011-11-17,3053,2914,139,410,3053,3053
2011-11-18,3392,3147,245,409,3392,3392
2011-11-19,3663,2720,943,408,3663,3663
2011-11-20,3520,2733,787,407,3520,3520
2011-11-21,2765,2545,220,406,2765,2765
2011-11-22,1607,1538,69,405,1607,1607
2011-11-23,2566,2454,112,404,2566,2566
2011-11-24,1495,935,560,403,1495,1495
2011-11-25,2792,1697,1095,402,2792,2792
2011-11-26,3068,1819,1249,401,3068,3068
2011-11-27,3071,2261,810,400,3071,3071
2011-11-28,3867,3614,253,399,3867,3867
2011-11-29,2914,2818,96,398,2914,2914
2011-11-30,3613,3425,188,397,3613,3613
2011-12-01,3727,3545,182,396,3727,3727
2011-12-02,3940,3672,268,395,3940,3940
2011-12-03,3614,2908,706,394,3614,3614
2011-12-04,3485,2851,634,393,3485,3485
2011-12-05,3811,3578,233,392,3811,3811
2011-12-06,2594,2468,126,391,2594,2594
2011-12-07,705,655,50,390,705,705
2011-12-08,3322,3172,150,389,3322,3322
2011-12-09,3620,3359,261,388,3620,3620
2011-12-10,3190,2688,502,387,3190,3190
2011-12-11,2743,2366,377,386,2743,2743
2011-12-12,3310,3167,143,385,3310,3310
2011-12-13,3523,3368,155,384,3523,3523
2011-12-14,3740,3562,178,383,3740,3740
2011-12-15,3709,3528,181,382,3709,3709
2011-12-16,3577,3399,178,381,3577,3577
2011-12-17,2739,2464,275,380,2739,2739
2011-12-18,2431,2211,220,379,2431,2431
2011-12-19,3403,3143,260,378,3403,3403
2011-12-20,3750,3534,216,377,3750,3750
2011-12-21,2660,2553,107,376,2660,2660
2011-12-22,3068,2841,227,375,3068,3068
2011-12-23,2209,2046,163,374,2209,2209
2011-12-24,1011,856,155,373,1011,1011
2011-12-25,754,451,303,372,754,754
2011-12-26,1317,887,430,371,1317,1317
2011-12-27,1162,1059,103,370,1162,1162
2011-12-28,2302,2047,255,369,2302,2302
2011-12-29,2423,2169,254,368,2423,2423
2011-12-30,2999,2508,491,367,2999,2999
2011-12-31,2485,1820,665,366,2485,2485
2012-01-01,2294,1608,686,365,2294,2294
2012-01-02,1951,1707,244,364,1951,1951
2012-01-03,2236,2147,89,363,2236,2236
2012-01-04,2368,2273,95,362,2368,2368
2012-01-05,3272,3132,140,361,3272,3272
2012-01-06,4098,3791,307,360,4098,4098
2012-01-07,4521,3451,1070,359,4521,4521
2012-01-08,3425,2826,599,358,3425,3425
2012-01-09,2376,2270,106,357,2376,2376
2012-01-10,3598,3425,173,356,3598,3598
2012-01-11,2177,2085,92,355,2177,2177
2012-01-12,4097,3828,269,354,4097,4097
2012-01-13,3214,3040,174,353,3214,3214
2012-01-14,2493,2160,333,352,2493,2493
2012-01-15,2311,2027,284,351,2311,2311
2012-01-16,2298,2081,217,350,2298,2298
2012-01-17,2935,2808,127,349,2935,2935
2012-01-18,3376,3267,109,348,3376,3376
2012-01-19,3292,3162,130,347,3292,3292
2012-01-20,3163,3048,115,346,3163,3163
2012-01-21,1301,1234,67,345,1301,1301
2012-01-22,1977,1781,196,344,1977,1977
2012-01-23,2432,2287,145,343,2432,2432
2012-01-24,4339,3900,439,342,4339,4339
2012-01-25,4270,3803,467,341,4270,4270
2012-01-26,4075,3831,244,340,4075,4075
2012-01-27,3456,3187,269,339,3456,3456
2012-01-28,4023,3248,775,338,4023,4023
2012-01-29,3243,2685,558,337,3243,3243
2012-01-30,3624,3498,126,336,3624,3624
2012-01-31,4509,4185,324,335,4509,4509
2012-02-01,4579,4275,304,334,4579,4579
2012-02-02,3761,3571,190,333,3761,3761
2012-02-03,4151,3841,310,332,4151,4151
2012-02-04,2832,2448,384,331,2832,2832
2012-02-05,2947,2629,318,330,2947,2947
2012-02-06,3784,3578,206,329,3784,3784
2012-02-07,4375,4176,199,328,4375,4375
2012-02-08,2802,2693,109,327,2802,2802
2012-02-09,3830,3667,163,326,3830,3830
2012-02-10,3831,3604,227,325,3831,3831
2012-02-11,2169,1977,192,324,2169,2169
2012-02-12,1529,1456,73,323,1529,1529
2012-02-13,3422,3328,94,322,3422,3422
2012-02-14,3922,3787,135,321,3922,3922
2012-02-15,4169,4028,141,320,4169,4169
2012-02-16,3005,2931,74,319,3005,3005
2012-02-17,4154,3805,349,318,4154,4154
2012-02-18,4318,2883,1435,317,4318,4318
2012-02-19,2689,2071,618,316,2689,2689
2012-02-20,3129,2627,502,315,3129,3129
2012-02-21,3777,3614,163,314,3777,3777
2012-02-22,4773,4379,394,313,4773,4773
2012-02-23,5062,4546,516,312,5062,5062
2012-02-24,3487,3241,246,311,3487,3487
2012-02-25,2732,2415,317,310,2732,2732
2012-02-26,3389,2874,515,309,3389,3389
2012-02-27,4322,4069,253,308,4322,4322
2012-02-28,4363,4134,229,307,4363,4363
2012-02-29,1834,1769,65,306,1834,1834
2012-03-01,4990,4665,325,305,4990,4990
2012-03-02,3194,2948,246,304,3194,3194
2012-03-03,4066,3110,956,303,4066,4066
2012-03-04,3423,2713,710,302,3423,3423
2012-03-05,3333,3130,203,301,3333,3333
2012-03-06,3956,3735,221,300,3956,3956
2012-03-07,4916,4484,432,299,4916,4916
2012-03-08,5382,4896,486,298,5382,5382
2012-03-09,4569,4122,447,297,4569,4569
2012-03-10,4118,3150,968,296,4118,4118
2012-03-11,4911,3253,1658,295,4911,4911
2012-03-12,5298,4460,838,294,5298,5298
2012-03-13,5847,5085,762,293,5847,5847
2012-03-14,6312,5315,997,292,6312,6312
2012-03-15,6192,5187,1005,291,6192,6192
2012-03-16,4378,3830,548,290,4378,4378
2012-03-17,7836,4681,3155,289,7836,7836
2012-03-18,5892,3685,2207,288,5892,5892
2012-03-19,6153,5171,982,287,6153,6153
2012-03-20,6093,5042,1051,286,6093,6093
2012-03-21,6230,5108,1122,285,6230,6230
2012-03-22,6871,5537,1334,284,6871,6871
2012-03-23,8362,5893,2469,283,8362,8362
2012-03-24,3372,2339,1033,282,3372,3372
2012-03-25,4996,3464,1532,281,4996,4996
2012-03-26,5558,4763,795,280,5558,5558
2012-03-27,5102,4571,531,279,5102,5102
2012-03-28,5698,5024,674,278,5698,5698
2012-03-29,6133,5299,834,277,6133,6133
2012-03-30,5459,4663,796,276,5459,5459
2012-03-31,6235,3934,2301,275,6235,6235
2012-04-01,6041,3694,2347,274,6041,6041
2012-04-02,5936,4728,1208,273,5936,5936
2012-04-03,6772,5424,1348,272,6772,6772
2012-04-04,6436,5378,1058,271,6436,6436
2012-04-05,6457,5265,1192,270,6457,6457
2012-04-06,6460,4653,1807,269,6460,6460
2012-04-07,6857,3605,3252,268,6857,6857
2012-04-08,5169,2939,2230,267,5169,5169
2012-04-09,5585,4680,905,266,5585,5585
2012-04-10,5918,5099,819,265,5918,5918
2012-04-11,4862,4380,482,264,4862,4862
2012-04-12,5409,4746,663,263,5409,5409
2012-04-13,6398,5146,1252,262,6398,6398
2012-04-14,7460,4665,2795,261,7460,7460
2012-04-15,7132,4286,2846,260,7132,7132
2012-04-16,6370,5172,1198,259,6370,6370
2012-04-17,6691,5702,989,258,6691,6691
2012-04-18,4367,4020,347,257,4367,4367
2012-04-19,6565,5719,846,256,6565,6565
2012-04-20,7290,5950,1340,255,7290,7290
2012-04-21,6624,4083,2541,254,6624,6624
2012-04-22,1027,907,120,253,1027,1027
2012-04-23,3214,3019,195,252,3214,3214
2012-04-24,5633,5115,518,251,5633,5633
2012-04-25,6196,5541,655,250,6196,6196
2012-04-26,5026,4551,475,249,5026,5026
2012-04-27,6233,5219,1014,248,6233,6233
2012-04-28,4220,3100,1120,247,4220,4220
2012-04-29,6304,4075,2229,246,6304,6304
2012-04-30,5572,4907,665,245,5572,5572
2012-05-01,5740,5087,653,244,5740,5740
2012-05-02,6169,5502,667,243,6169,6169
2012-05-03,6421,5657,764,242,6421,6421
2012-05-04,6296,5227,1069,241,6296,6296
2012-05-05,6883,4387,2496,240,6883,6883
2012-05-06,6359,4224,2135,239,6359,6359
2012-05-07,6273,5265,1008,238,6273,6273
2012-05-08,5728,4990,738,237,5728,5728
2012-05-09,4717,4097,620,236,4717,4717
2012-05-10,6572,5546,1026,235,6572,6572
2012-05-11,7030,5711,1319,234,7030,7030
2012-05-12,7429,4807,2622,233,7429,7429
2012-05-13,6118,3946,2172,232,6118,6118
2012-05-14,2843,2501,342,231,2843,2843
2012-05-15,5115,4490,625,230,5115,5115
2012-05-16,7424,6433,991,229,7424,7424
2012-05-17,7384,6142,1242,228,7384,7384
2012-05-18,7639,6118,1521,227,7639,7639
2012-05-19,8294,4884,3410,226,8294,8294
2012-05-20,7129,4425,2704,225,7129,7129
2012-05-21,4359,3729,630,224,4359,4359
2012-05-22,6073,5254,819,223,6073,6073
2012-05-23,5260,4494,766,222,5260,5260
2012-05-24,6770,5711,1059,221,6770,6770
2012-05-25,6734,5317,1417,220,6734,6734
2012-05-26,6536,3681,2855,219,6536,6536
2012-05-27,6591,3308,3283,218,6591,6591
2012-05-28,6043,3486,2557,217,6043,6043
2012-05-29,5743,4863,880,216,5743,5743
2012-05-30,6855,6110,745,215,6855,6855
2012-05-31,7338,6238,1100,214,7338,7338
2012-06-01,4127,3594,533,213,4127,4127
2012-06-02,8120,5325,2795,212,8120,8120
2012-06-03,7641,5147,2494,211,7641,7641
2012-06-04,6998,5927,1071,210,6998,6998
2012-06-05,7001,6033,968,209,7001,7001
2012-06-06,7055,6028,1027,208,7055,7055
2012-06-07,7494,6456,1038,207,7494,7494
2012-06-08,7736,6248,1488,206,7736,7736
2012-06-09,7498,4790,2708,205,7498,7498
2012-06-10,6598,4374,2224,204,6598,6598
2012-06-11,6664,5647,1017,203,6664,6664
2012-06-12,4972,4495,477,202,4972,4972
2012-06-13,7421,6248,1173,201,7421,7421
2012-06-14,7363,6183,1180,200,7363,7363
2012-06-15,7665,6102,1563,199,7665,7665
2012-06-16,7702,4739,2963,198,7702,7702
2012-06-17,6978,4344,2634,197,6978,6978
2012-06-18,5099,4446,653,196,5099,5099
2012-06-19,6825,5857,968,195,6825,6825
2012-06-20,6211,5339,872,194,6211,6211
2012-06-21,5905,5127,778,193,5905,5905
2012-06-22,5823,4859,964,192,5823,5823
2012-06-23,7458,4801,2657,191,7458,7458
2012-06-24,6891,4340,2551,190,6891,6891
2012-06-25,6779,5640,1139,189,6779,6779
2012-06-26,7442,6365,1077,188,7442,7442
2012-06-27,7335,6258,1077,187,7335,7335
2012-06-28,6879,5958,921,186,6879,6879
2012-06-29,5463,4634,829,185,5463,5463
2012-06-30,5687,4232,1455,184,5687,5687
2012-07-01,5531,4110,1421,183,5531,5531
2012-07-02,6227,5323,904,182,6227,6227
2012-07-03,6660,5608,1052,181,6660,6660
2012-07-04,7403,4841,2562,180,7403,7403
2012-07-05,6241,4836,1405,179,6241,6241
2012-07-06,6207,4841,1366,178,6207,6207
2012-07-07,4840,3392,1448,177,4840,4840
2012-07-08,4672,3469,1203,176,4672,4672
2012-07-09,6569,5571,998,175,6569,6569
2012-07-10,6290,5336,954,174,6290,6290
2012-07-11,7264,6289,975,173,7264,7264
2012-07-12,7446,6414,1032,172,7446,7446
2012-07-13,7499,5988,1511,171,7499,7499
2012-07-14,6969,4614,2355,170,6969,6969
2012-07-15,6031,4111,1920,169,6031,6031
2012-07-16,6830,5742,1088,168,6830,6830
2012-07-17,6786,5865,921,167,6786,6786
2012-07-18,5713,4914,799,166,5713,5713
2012-07-19,6591,5703,888,165,6591,6591
2012-07-20,5870,5123,747,164,5870,5870
2012-07-21,4459,3195,1264,163,4459,4459
2012-07-22,7410,4866,2544,162,7410,7410
2012-07-23,6966,5831,1135,161,6966,6966
2012-07-24,7592,6452,1140,160,7592,7592
2012-07-25,8173,6790,1383,159,8173,8173
2012-07-26,6861,5825,1036,158,6861,6861
2012-07-27,6904,5645,1259,157,6904,6904
2012-07-28,6685,4451,2234,156,6685,6685
2012-07-29,6597,4444,2153,155,6597,6597
2012-07-30,7105,6065,1040,154,7105,7105
2012-07-31,7216,6248,968,153,7216,7216
2012-08-01,7580,6506,1074,152,7580,7580
2012-08-02,7261,6278,983,151,7261,7261
2012-08-03,7175,5847,1328,150,7175,7175
2012-08-04,6824,4479,2345,149,6824,6824
2012-08-05,5464,3757,1707,148,5464,5464
2012-08-06,7013,5780,1233,147,7013,7013
2012-08-07,7273,5995,1278,146,7273,7273
2012-08-08,7534,6271,1263,145,7534,7534
2012-08-09,7286,6090,1196,144,7286,7286
2012-08-10,5786,4721,1065,143,5786,5786
2012-08-11,6299,4052,2247,142,6299,6299
2012-08-12,6544,4362,2182,141,6544,6544
2012-08-13,6883,5676,1207,140,6883,6883
2012-08-14,6784,5656,1128,139,6784,6784
2012-08-15,7347,6149,1198,138,7347,7347
2012-08-16,7605,6267,1338,137,7605,7605
2012-08-17,7148,5665,1483,136,7148,7148
2012-08-18,7865,5038,2827,135,7865,7865
2012-08-19,4549,3341,1208,134,4549,4549
2012-08-20,6530,5504,1026,133,6530,6530
2012-08-21,7006,5925,1081,132,7006,7006
2012-08-22,7375,6281,1094,131,7375,7375
2012-08-23,7765,6402,1363,130,7765,7765
